OBJECTID,TICKET_NUMBER,VIOLATION_TYPE_DESC,ISSUE_DATE,ISSUE_TIME,ISSUING_AGENCY_CODE,ISSUING_AGENCY_NAME,ISSUING_AGENCY_SHORT,VIOLATION_CODE,VIOLATION_PROC_DESC,LOCATION,PLATE_STATE,VEHICLE_TYPE,MULTI_OWNER_NUMBER,DISPOSITION_CODE,DISPOSITION_TYPE,DISPOSITION_DESC,DISPOSITION_DATE,FINE_AMOUNT,TOTAL_PAID,PENALTY_1,PENALTY_2,PENALTY_3,PENALTY_4,PENALTY_5,XCOORD,YCOORD,LATITUDE,LONGITUDE,MAR_ID,GIS_LAST_MOD_DTTM
60628452,269927641,P,1477972800000,07:46 PM,77,D.C. HOUSING AUTHORITY,DCHA,P059,PARK IN A FIRE LANE,203 N ST SW, ,,,181.0,Other,DISM PEN 3,1530158400000.0,50.0,100.0,50.0,,2.0,,,398799.89,134136.04,38.875,-77.014,277800.0,1559103368000
60628453,269927652,P,1477972800000,07:50 PM,77,D.C. HOUSING AUTHORITY,DCHA,P059,PARK IN A FIRE LANE,203 N ST SW, ,,11021000,,Other,,,50.0,50.0,,,,,,398799.89,134136.04,38.875,-77.014,277800.0,1559103368000
60628454,269927663,P,1478404800000,07:45 PM,77,D.C. HOUSING AUTHORITY,DCHA,P055,NO PARKING ANYTIME,410 M ST SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480568400000.0,30.0,30.0,,,,,,400004.03,134320.02,38.877,-77.0,155956.0,1559103368000
60628455,269927674,P,1478404800000,07:45 PM,77,D.C. HOUSING AUTHORITY,DCHA,P055,NO PARKING ANYTIME,410 M ST SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480568400000.0,30.0,0.0,,,,,,400004.03,134320.02,38.877,-77.0,155956.0,1559103368000
60628460,269928013,P,1477972800000,07:53 AM,77,D.C. HOUSING AUTHORITY,DCHA,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,700 12TH ST SE, ,,,24.0,Dismissed,DISMISSED ON MERIT,1480395600000.0,250.0,0.0,,,,,,400893.4,134761.08,38.881,-76.99,288859.0,1559103368000
60628462,269928223,P,1478494800000,12:49 AM,77,D.C. HOUSING AUTHORITY,DCHA,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,1200 DELAWARE AV SW, ,,,105.0,Dismissed,DISM NOI LATE HEARG,1480568400000.0,250.0,0.0,,,,,,398850.54,134245.57,38.876,-77.013,72281.0,1559103368000
60628463,269928234,P,1478494800000,02:46 AM,77,D.C. HOUSING AUTHORITY,DCHA,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,1200 DELAWARE AV SW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480568400000.0,250.0,0.0,,,,,,398850.54,134245.57,38.876,-77.013,72281.0,1559103368000
60628464,269928245,P,1479531600000,03:15 AM,77,D.C. HOUSING AUTHORITY,DCHA,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,203 N ST SW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1481778000000.0,250.0,0.0,,,,,,398799.89,134136.04,38.875,-77.014,277800.0,1559103368000
60628465,269928256,P,1479704400000,02:44 AM,77,D.C. HOUSING AUTHORITY,DCHA,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,203 N ST SW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1481778000000.0,250.0,250.0,,,,,,398799.89,134136.04,38.875,-77.014,277800.0,1559103368000
60628466,269928260,P,1479963600000,03:06 AM,77,D.C. HOUSING AUTHORITY,DCHA,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,1206 EYE ST SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1481778000000.0,250.0,0.0,,,,,,400903.53,134631.1,38.88,-76.99,290332.0,1559103368000
60628468,269928540,P,1478404800000,04:00 AM,77,D.C. HOUSING AUTHORITY,DCHA,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,611 MORTON ST NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480568400000.0,250.0,0.0,,,,,,398130.43,140501.7,38.932,-77.022,228830.0,1559103368000
60628469,269928551,P,1478404800000,04:05 AM,77,D.C. HOUSING AUTHORITY,DCHA,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,611 MORTON ST NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480568400000.0,250.0,0.0,,,,,,398130.43,140501.7,38.932,-77.022,228830.0,1559103368000
60628558,269786915,P,1479704400000,07:40 AM,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,P055,NO PARKING ANYTIME,2500 REED ST WEST SIDE NE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1481259600000.0,30.0,0.0,,,,,,400530.91,139383.52,38.922,-76.994,810409.0,1559103368000
60628559,269786926,P,1479704400000,07:43 AM,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,P055,NO PARKING ANYTIME,2500 REED WEST SIDE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1481259600000.0,30.0,0.0,,,,,,400530.91,139383.52,38.922,-76.994,810409.0,1559103368000
